"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"ACSL5",1.80322703643493,1.4905701304462,1.74846123300404,1.23878685958712,1.40053792958373,1.4594316186373
"ACSM3",1.4541758931858,1.62293035092018,1.59454854955035,1.04264433740849,1.05658352836637,1.16992500144231
"ACSS1",1.6959938131099,1.96347412397489,1.75702324650746,1.28688114778816,1.17632277264046,1.43829285157915
"ACSS2",5.90881290773955,6.02303351866553,5.98777561614291,5.56711948795167,5.63226821549951,5.58285703484424
"ACTA1",0.356143810225275,0.214124805352847,0.37851162325373,0.070389327891398,0.20163386116965,0.124328135002202
"ACTA2",2.27202318906105,2.30158764660319,2.0703893278914,1.52606881166759,1.63691458035588,1.41683974191283
"ACTB",11.4347168297414,11.4242187876824,11.3112374356005,11.2793436055396,11.2970824856757,11.3173391203744
"ACTC1",2.19219416528334,2.38404980679516,2.44360665147561,1.790772037862,1.58976348698498,1.18903382439002
"ACTG1",11.1940304001593,11.1629765967573,11.0331132293668,10.8968772854862,10.8077171604885,10.9138094343109
"ACTL10",1.56071495447448,0.333423733725192,1.0703893278914,1.19534759832222,1.20789285164133,1.48026512205446
"ACTL6A",5.77741971551583,5.89941734867508,5.75782333620773,5.68341574703043,5.68229237143083,5.71149490665009
"ACTL8",0.823749360308273,0.84799690655495,0.545968369105292,0.27500704749987,0.344828496997441,0.495695162624069
"ACTL9",0.37851162325373,0.37851162325373,0,0,0,0.111031312388744
"ACTMAP",3.54225804976692,3.71808758396052,3.76871365703048,4.04176864995163,3.74631276642546,3.97361127551947
"ACTN1",7.11040500673928,7.00741978357191,6.94345253855882,7.04984854945056,7.01714246404775,7.14486214291573
"ACTN2",0.0840642647884745,0.333423733725192,0.250961573533219,0.070389327891398,0,0.0285691521967709
"ACTN3",0.367371065648529,0.632268215499513,0.333423733725192,0,0.0565835283663675,0.31034012061215
"ACTN4",8.64612664694808,8.66941659209916,8.63734941083314,8.74331972677017,8.68229237143083,8.76347797090976
"ACTR10",4.93781516880342,5.21684284283726,5.06995989045977,5.19967234483636,5.2349610948395,5.06177619758669
"ACTR1A",5.95628902658394,5.834407841807,5.56985560833095,5.90857275875175,5.86690797814317,5.86294724802092
"ACTR1B",6.63981097771678,6.4235781709818,6.27444804392521,6.52105073690096,6.43796008833447,6.46139758992616
"ACTR2",6.70832520714317,6.76844901518055,6.77478705960117,6.68509917200661,6.7309116243181,6.78070379396761
"ACTR3",7.78626962764847,7.82972273508606,7.73186206106474,7.64132926174569,7.65169752945319,7.67256677572886
"ACTR3B",3.93922657772821,3.87578006306849,3.75915583380027,3.99909803370561,3.96439863220318,4.11270013274936
"ACTR3C",2.92409988564074,2.59215800212536,2.97452931248388,2.9429835981871,3.35614381022528,2.86987140617771
"ACTR5",3.74200621086674,3.83390207666916,3.41142624572647,3.26153081524341,3.31179371775365,3.11935617703968
"ACTR6",4.3533232911629,4.34908214639109,4.34411833452143,4.10349763970334,4.30961277245412,4.27202318906105
"ACTR8",3.60288440871842,3.66334461936608,3.52732060787705,3.64270157183323,3.45680614923047,3.5909612413426
"ACVR1",3.5298209465287,3.48800077083407,3.51727569320958,3.06004738366994,2.90496571868403,2.99819550315325
"ACVR1B",3.66220549965362,3.58255600301406,3.07210580048042,3.14567745519564,3.21412480535285,3.4541758931858
"ACVR2A",1.4594316186373,1.55090066464752,1.4905701304462,1.83592407425437,1.53605290024021,1.790772037862
"ACVR2B",1.16992500144231,0.807354922057604,1.13750352374994,1.26303440583379,0.985500430304885,1.33342373372519
"ACVRL1",0.263034405833794,0.16349873228288,0.53605290024021,0,0.137503523749935,0.0840642647884745
"ACY1",4.98458935036246,4.64558638591361,4.64616265715789,5.08023127201926,5.01077983875324,5.0639343057541
