"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"LLGL2",3617,3028,3419,2360,2180,2621
"LLPH",473.13,367.56,486.31,263.3,284.29,320.54
"LMAN1",4623,3756,4614,2818,2847,3770.98
"LMAN2",3382,2301,2667,1658,1632,1792
"LMAN2L",681,458,525,370,333,467
"LMBR1",1070,778,911,718,769,892
"LMBR1L",430,318,280,184,160,184
"LMBRD1",256,221,310,178,163,195
"LMBRD2",1434,1108,1203,431,479,601
"LMCD1",97,78,109.26,124,117,148.37
"LMF1",141,94,141,54,28,34
"LMF2",2511,1977,2120,1041,1022,1227
"LMLN",177,139,148,90,88,133
"LMNA",13691,10134,11490,1860,1609,1941
"LMNB1",3256,2720,3096,2412,2290,2944
"LMNB2",4089,2731,2897,2294,1983,2613
"LMNTD1",1,6,5,2,0,2
"LMNTD2",174.24,98.04,111.06,73.04,58,88.6
"LMO1",167,181,236,153,119,187
"LMO4",879,581,721,417,425,496
"LMO7",4754.63,3793.88,4384.93,4196.2,4190.37,5561.97
"LMOD1",33.73,35,24.96,1,1.07,6
"LMOD3",3,2,1,1,5,2
"LMTK2",1775,1672,1727,990,919,1291
"LMTK3",113,101,92,65,44,49
"LNP1",69,84,78,61,63,70
"LNPEP",914.82,656.23,774.94,419.66,419.06,618.71
"LNPK",585,535,637,399,401,442
"LNX2",236.37,181,206.68,143.18,127,148
"LONP1",3984,2660,2938,2997,2643,3309
"LONP2",836,653,753,466,540,680
"LONRF1",402,359,344,204,190,250
"LONRF2",9,11,9,0,0,2
"LONRF3",401,203,272,188,190,266
"LOX",2048,1582,1903,1029,888,1362
"LOXL1",164.93,104.96,122,67,38,72
"LOXL2",7012.98,4934.98,5831.98,2595.98,2232,2971.98
"LOXL3",57.09,32.62,32.27,38.27,28.07,49.82
"LOXL4",131,94.93,118,16,14,24
"LPAR2",171,133,140,108,96,104
"LPAR5",116,65,95,71.95,67,96
"LPCAT1",6223.86,5081.87,5242,2945.81,2361.94,3151
"LPCAT2",71,42,64,47,48,45
"LPCAT3",1744.45,1642.35,1728.9,966.77,880.78,1148.76
"LPCAT4",738,521,569,407.66,393,484
"LPGAT1",2044,1798,2132,912,947,1278
"LPIN1",1458,1352,1290,885,897,1118
"LPIN2",933.91,680.91,786.85,555.96,544.8,702.95
"LPIN3",516.9,396,388,282,264,317.74
"LPL",3403,3812,4835,3090,2947,3458
"LPP",987.88,788,1049.32,654.96,643,976
"LPXN",34,35,31,20,24,27
"LRATD2",22,10,14,2,0,0
"LRBA",889,803,855,680,617,822
"LRCH1",266,206,221,230,232,305
"LRCH2",3,5,9,4,3,5
"LRCH3",704,515,578,347,381,485
"LRCH4",785.68,568.97,592,403.09,361.77,499.61
"LRFN3",395,256,339,177,168,225
"LRFN4",2333,1449,1638,1395,1194,1539
"LRG1",7,5,7,5,1,3
"LRGUK",5,4,7,1,4,8
"LRIF1",1085.93,948.72,1066.28,538.93,531.18,659.65
"LRIG1",995,646,763,413.52,329.54,431.65
"LRIG2",181,135.45,94,96.73,83,132.81
"LRIG3",318,227,291,225,191,233
"LRMDA",52,48,54,54,35,49
"LRP1",10306,7265,9747,5989,4583,7399.99
"LRP10",2172,1456,1775,1292,1193,1536
"LRP11",1990.78,1628.77,1858.55,1030.8,946.84,1264.75
"LRP12",233,194,205,170,166,179
"LRP1B",16,14,22,12,10,15
"LRP2BP",14.02,9.02,17.02,5,11,11
"LRP3",97,57.84,55.85,1,1,0
"LRP4",243.51,205,234.9,299.89,317.92,452.85
"LRP5",2754,1894,2180,1650,1451,1959
"LRP6",1056,824,1008,624,659,779
"LRP8",3117.66,2059.67,2316.17,1649.97,1567.98,1938.17
"LRPAP1",2120,1375,1509,994,911,1128
"LRPPRC",5750,4613,5175,4117,4197,5195
"LRR1",366,307,336,249,259,271
"LRRC1",299.77,243.8,308.84,211.77,254.95,283.65
"LRRC14",1622.01,969.27,1107.31,978.66,838.16,1022.54
"LRRC15",4,7,7,10,11,16
"LRRC20",369,295,338,288,300,350
"LRRC23",195.52,162.04,192.51,68.5,83.47,94.34
"LRRC24",200.99,132.73,163.69,134.34,116.84,136.46
"LRRC26",528.52,303.41,333.34,214.27,160.46,201.7
"LRRC27",82,60,61,32,40,49
"LRRC28",155.91,118,130,101,120.83,141
"LRRC3",223,162,163,194,159,177
"LRRC32",8,5,12,3,0,1
"LRRC37A",80.19,43.45,37.96,37.29,34.24,33.79
"LRRC37A2",181.15,163.53,148.64,162.55,138.97,211.49
"LRRC37A3",51.09,72.52,57.59,56.48,22.86,52.44
"LRRC37B",145.25,109.72,143.15,106.22,122.87,143.65
"LRRC38",2,4,7,1,3,5
"LRRC39",9.68,7.81,5.77,6.98,2.38,3.41
"LRRC4",6,0,1,1,0,3
"LRRC40",392,337,365,270,323,323.94
"LRRC41",833.85,701.79,737.36,571.18,528.44,669.92
"LRRC42",988,760.92,847.94,591,613,746.94
"LRRC45",1858,1156,1325,987,872,1014
"LRRC46",13,8,10,5,6,6
"LRRC47",1417,983.51,1153.88,796.64,727.66,900.91
"LRRC49",40,40,42,22,39,23
"LRRC4B",20,9,3,1,0,1
"LRRC51",170.62,115.2,161.92,105.27,80.02,100.12
"LRRC56",120.52,87.58,76.28,56.17,46,75.86
"LRRC57",492,430,427,296.68,294.51,367
"LRRC58",2474,1834,2251,1431,1461,1961
"LRRC59",5191.95,3870.06,4470.96,2778.09,2651.28,3195.42
"LRRC61",853.09,553.26,653.15,513.77,503.5,650.53
"LRRC70",1,0,5,1,2,3
"LRRC73",18,29,18,18,17,23
"LRRC75A",44.39,32.49,44.91,110.73,97.85,132.34
"LRRC75B",160,92,70,79,63,101
"LRRC8A",2837,2073,2372,1518,1355,1791
"LRRC8B",87,85,85,31,35,56
"LRRC8D",725,526,564,426,469,567
"LRRC8E",201.88,171.9,168.34,117.37,88.07,126.12
"LRRCC1",112,144,157,127,143,172
"LRRFIP1",2014.8,1584.73,1860.67,1152.41,1050.35,1490.06
"LRRFIP2",561,498,584,383,363,482
"LRRIQ1",9,9,9,3,7,5
"LRRIQ3",15,8,17,14,12,9
"LRRK1",857,664.72,739,686.69,630,851.82
"LRRK2",21,13,11,5,9,5.43
"LRRN2",793,674,824,337,309,419
"LRRN4CL",3.4,3,3,0,1,0
"LRSAM1",1078,771,870,939,906,1138
"LRTOMT",21.12,18.86,29.19,9.75,14.3,12.2
"LRWD1",1099.06,602,689,483,438,542
"LSAMP",4,1,9,6,4,6
"LSG1",618,547,560,441,417.88,547
"LSM1",550,422,456,216,225.56,235
"LSM10",449,266,264,187,176,213
"LSM11",557,399,391,323,315,343
"LSM12",1227.85,1059.49,1112.01,793.16,862.99,1007.85
"LSM14A",1829,1595,1981,1377,1351,1779
"LSM14B",1626,1146,1271,1044,920,1269
"LSM2",857.77,646.65,746.73,495.55,456.71,523.79
"LSM3",671,575,700,408,441,462
"LSM4",3953.95,2802.98,3194.96,2452.98,2350.98,2768.9
"LSM5",512,418.99,514,333,376,435
"LSM6",144,142,154,107,127,156
"LSM7",758,456,455,343,341,351
"LSM8",1107,1025,1031,814,784,925
"LSMEM1",9.87,6.77,4.51,1.4,5.66,2.25
"LSMEM2",2.27,4.43,5.69,0,1.16,4.5
"LSR",24,7,6,10,13.71,19.52
"LSS",8440.93,6402.91,6984.87,5571.92,5043.78,6226.86
"LTA4H",2111.95,1764.25,1938.93,1678.49,1715,1986.79
"LTB4R",871.98,685.31,655.89,433.62,371.36,514.74
"LTB4R2",310.22,185.58,195.7,164.88,106.6,163.82
"LTBP1",1884.98,1746.92,2226.95,1825.88,1693.9,2100.92
"LTBP2",19,12,9,21,15,20
"LTBP3",1237.18,767.59,868.64,347.35,309.09,408.08
"LTBP4",3570,2448,2919,1971,1603,2236
"LTBR",2084,1352,1605,1333,1229,1529
"LTC4S",3,1,0,1,4,1
"LTK",9,6,12,1,7,2
"LTN1",822,660,725,526,484,643
"LTO1",203.17,147,111.98,112,90,114
"LTV1",276,243,318,219,224,252
"LUC7L",392,291,329,264,241,306
"LUC7L2",1928.09,1493.65,1912.98,1250.77,1260.88,1585.32
"LUC7L3",2565,2234,1511,1654,1518,1964
"LURAP1L",128,100,115,25,29,44
"LUZP1",1321,1135,1322,762.78,779,1068
"LUZP2",128,154,193,105,147,138
"LVRN",3,2,1,1,1,2
"LY6D",4,8,12,5,3,2
"LY6E",2712,1839,1986,1418,1384,1650
"LY6G5B",161.77,127.87,104.42,93.62,70.18,126.39
"LY6G5C",8,8,7,5,9,4
"LY6K",2905.49,1703.88,1898.5,1388.85,1419.45,1645.78
"LY6S",12.3,10.05,4.55,3.97,8.5,2.28
"LYAR",382,241,290,161,183,201
"LYG1",35,26,20,0,6,11
"LYN",584,433,532,226,269,330
"LYPD1",50.66,34.73,51.06,20.02,16.51,25.57
"LYPD3",1301,777,935,254,268,332
"LYPD5",2,2,7,0,2,1
"LYPD6",223,192,194,167,185,217
"LYPLA1",1310.98,1102.97,1273.98,624.96,622,770.99
"LYPLA2",2203,1415,1624,928,916,1033
"LYPLAL1",136,139,152,76,101,92
"LYRM1",233.86,194.47,229.13,140.89,115,186.14
"LYRM2",375,338,336,235,248,294
"LYRM4",349,278,300,270,256,312
"LYRM7",262,242,247,162,189,223
"LYRM9",32.79,37,48.7,38.67,30,39
"LYSET",175,120,139,103,80,101
"LYSMD1",280,220,232,234,193,271
"LYSMD2",151,105,122,122,115,138
"LYSMD3",441,358,413,244,275,344
"LYSMD4",292.87,220.43,186.53,223.49,183,232.49
"LYST",285,244,231,137,156,197
"LZIC",756,632,678,439,421.98,559.92
"LZTFL1",90,111.94,102,88,107.84,112.88
"LZTR1",1082.47,734,744,711,616,778
"LZTS1",4,7,2,3,3,6
"LZTS2",2389.88,1601.79,1753.83,1607.77,1376.97,1811.94
"LZTS3",113,78,90,62.77,56,67
"M1AP",167,151,172,98,94,133
"M6PR",3109.76,2310.96,2586.21,1894.66,1922.18,2302.12
"MAB21L3",146,152,151,56,42,73
"MAB21L4",30,19,15,10,5,8
"MACF1",3315,2569,3133,2045,1984,2844
"MACIR",569,438,484,344,293,392
"MACO1",476,373,415,317,335,392
"MACROD1",886,607,737,609,556,674
"MACROD2",70,86,103,76,63,76
"MACROH2A1",4177.9,3330.66,3769.7,2288.65,2366.48,2770.17
"MAD1L1",732.07,430.04,526,410.7,376.93,462.42
"MAD2L1",887.99,700.98,796.96,548,561.99,647.99
"MAD2L1BP",552,415,372,287,258,322
"MAD2L2",1943,1262,1359,907,977,1071
"MADCAM1",9,4,6,1,1,3
"MADD",2271,1695,1769,1676,1600,2068
"MAEA",805,576,690,778,756,890
"MAF1",3457.91,2368.36,2729.28,1952.14,1849.98,2250.85
"MAFA",321,269,283,82,77,85
"MAFB",200,141,211,37,45,47
"MAFF",308,178,325,176,179,196
"MAFG",2409.11,1538.81,1446.93,1022.82,847.57,1117
"MAFIP",76.09,47.59,43.96,50.89,64.97,75.83
"MAFK",6820.46,4400.17,4301.04,1854.63,1424.56,1810.76
"MAGEA1",1586,1101,1265,1756,1675,2011
"MAGEA3",201.11,151.74,156.12,88.23,123.15,103.87
"MAGEA6",1007.89,765.26,888.88,533.77,581.85,637.13
"MAGEB6",5,2,2,3,1,2
"MAGED2",3325,2812,3190,1399,1359,1593
"MAGEF1",831,622,692,511,432,513
"MAGI1",424.13,304,379.62,313.82,283,452
"MAGI2",1,0,2,4,2,1
"MAGI3",412,382,385,255,242,310
"MAGIX",160,101,113,47,40,44
"MAGOH",448,345,420,294,299,319
"MAGOHB",401,328,405.96,237,268,321
"MAGT1",2172,1821,2146,1273,1311,1576
"MAIP1",301,201.82,215.06,134.68,145,173
"MAK",5,2,0,1,3,3
"MAK16",541.67,466.92,485.89,217.06,237.71,299.71
"MAL2",1609,1298,1628,366,344,431
"MALL",72,23.39,0,4,3,3.31
"MALSU1",846.08,778.07,881.62,679.98,700.41,788.58
"MALT1",697,629,767,398.75,380.98,471
"MAMDC2",86,120,143,129.9,123,131
"MAMDC4",1490,1089,1207,673,549,801
"MAML1",1474,1164,1220,940,793,1130
"MAML2",270,256.04,310,153,166,221
"MAML3",236,187.9,204.97,101,105,136
"MAMLD1",910,776,991,424,371,542
"MAMSTR",6,4,6,4,4,7
"MAN1A1",847,681,915,560.99,525,722
"MAN1A2",833,709,795,557,578,724
"MAN1B1",2703,1847,2119,1195,1082,1393
"MAN1C1",19,14,15,12,17,12
"MAN2A1",1432,1070,1264,1070,1099,1324
"MAN2A2",1783,1322,1440,1758,1426,1906
"MAN2B1",1237.51,969.67,1070.23,656.49,638.95,733.53
"MAN2B2",735,563,649,358,308,438
"MAN2C1",912.05,594.45,669.11,552.79,461.29,572.83
"MANBA",708,604,677,381,344,469
"MANBAL",752,590,605,562,557,645
"MANEA",230,199,217,148,158,172
"MANEAL",1324.34,933.71,1047.32,869.59,849.88,1060.23
"MANF",1187,931,1034,629,654,720
"MAOA",22,10,15,3,3,8
"MAOB",1145,1340,1675,537,528,626
"MAP1A",415,424,534,95,66,113
"MAP1B",52,48,77,25,27,36
"MAP1LC3A",56,47,58,77,57,74
"MAP1LC3B",1411.46,1164.46,1401.83,748.47,839.54,945.86
"MAP1LC3B2",54.54,50.54,49.17,42.53,32.46,34.14
"MAP1S",1173.88,712,817,525,536,657.62
"MAP2",9,6,9,19,22,23
"MAP2K1",2108.53,1482.34,1686.45,945.61,990.16,1182.38
"MAP2K2",5490.98,3677.99,4386.99,2937,2664.99,3264.98
"MAP2K3",909,635,699,585,681,766
"MAP2K4",437,376,441.98,242,275,310
"MAP2K5",361,274,365,255,246,332
"MAP2K6",1214,1157,1364,753,668,976
"MAP2K7",1038,756,784.54,562,540.96,641
"MAP3K1",299,205,219,142,127,225
"MAP3K10",744,439,493,352,302,344
"MAP3K11",2559,1641,1842,1331,1193,1563
"MAP3K12",321.38,282.27,315.14,185.58,165.89,252.12
"MAP3K13",234,205,259,140,137,160
"MAP3K14",865.68,684.37,547.61,485.9,427.8,516.64
"MAP3K2",1519.97,1279.93,1460.95,940.98,940.85,1240.75
"MAP3K20",1650,1380,1602.98,1354.99,1294,1739.99
"MAP3K21",967,725,840,377,372,458
"MAP3K3",802.06,676.53,722.79,598.67,539.84,690.25
"MAP3K4",256.98,220.12,191.4,142.32,187.71,210.54
"MAP3K5",297,222,252,161,163,190
"MAP3K6",1252,917,886,879,760,976
"MAP3K7",656,619,672,449,494,608
"MAP3K7CL",93,73,72,98,72,88
"MAP3K8",371.3,316.75,474.39,219.74,185,255.71
"MAP3K9",1090,872,965,613,517,721
"MAP4",5025,4316,4849.09,3433.68,3251.98,4291.01
"MAP4K1",4,3,5,5,5,8
"MAP4K2",1129,844,924,517,493,630
"MAP4K3",369,299,354,252,266,338
"MAP4K4",1321,1002,1234,774,768,1033
"MAP4K5",688,636.23,804.98,616.79,609.22,766.39
"MAP6D1",36,22,22.62,42,56.17,48
"MAP7",1691,1691,2072,884,852,975
"MAP7D1",3129,2118,2507,1732,1482,2000
"MAP7D2",5,3,1,6,3,9
"MAP7D3",771,665,785,615,622,777
"MAPDA",427.25,391.89,405.69,286.05,349.8,345.28
"MAPK1",2943,2645,2851,1863,1885,2465
"MAPK11",812,559,591,279,260,282
"MAPK12",924,553,655,352,277,334
"MAPK13",77,46,37,33,36,41
"MAPK14",1837,1279,1537,1100,1054,1360
"MAPK15",114,65,91,64,42,53
"MAPK1IP1L",1659,1434,1794,1073,1129,1392
"MAPK3",868,748,805,496,491,605
"MAPK4",60,72.92,75.82,22,15,19
"MAPK6",1269,1014,1258,792,722,971.99
"MAPK7",666.33,430.95,525.81,365.78,311.68,450
"MAPK8",649,470,561,438,484,591
"MAPK8IP1",12,12,7.69,14.22,10,6.76
"MAPK8IP2",68,36,41,65,65,66
"MAPK8IP3",1483,1045,1149,749,612,830
"MAPK9",1298,1070,1202,800,813,975
"MAPKAP1",2388,1977,2331,2724,2685,3274
"MAPKAPK2",2562,1998,2377,1233,1181,1411
"MAPKAPK3",1901,1386,1526,914,863,1164
"MAPKAPK5",547.29,417.54,424.43,310.64,325.15,397.94
"MAPKBP1",793.9,521,565.67,382,362,514
"MAPRE1",3721,2960,3463,2115,2104,2523
"MAPRE2",1102,899,1005,468,466,546
"MAPRE3",312,222,204,109,106,157
"MAPT",199,153,176,260,209,316
"MARCHF1",39,37,21,19,15,34
"MARCHF10",12,11.51,11.53,14.51,3.32,9
"MARCHF2",74,51,52,34,33,42
"MARCHF3",106,87,68,107,98,96
"MARCHF4",28,9,8,0,1,0
"MARCHF5",670.93,578.72,653.73,478,448.54,583.43
"MARCHF6",5537,4570.8,5616,2875.89,2668,3542
"MARCHF7",844.99,680.23,852.2,577.45,559.69,644.41
"MARCHF8",1076,1010,1146.58,634,580.19,730
"MARCHF9",440,329,369,254,208,293
"MARCKS",2124,1502,2046,1847,1622,2233
"MARCKSL1",3032,2333,2379,1518,1503,1893
"MARCOL",4001,4359,3645,384,352,440
"MARF1",808,679,443,261,299,381
"MARK1",621,480,603,303,288,323
"MARK2",808,567,719,545,422,595
"MARK3",1349,984,1196,796,811,942
"MARK4",615.97,473.98,547.97,294,260,324.92
"MARS1",2543,1653,1676,1137,1217,1349
"MARS2",155,107,109,127,88,136
"MARVELD1",1689,1368,1462,939,854,1166
"MARVELD2",55,46,47,28,27,34
"MARVELD3",5,3,3,2,0,6
"MASP1",22,29,28,10,10,12
"MASP2",8,7,8,7,4,7
"MAST1",116,91,99,64,54,90
"MAST2",2001,1353,1571,1198,1002,1462
"MAST3",555,425,463,309,228,355.96
"MAST4",213,153,141,43,54,54
"MASTL",1645.51,1373.98,1652.03,1075.88,1071.11,1386.57
"MAT2A",5098.98,3964.77,2405.27,2525.37,2113.48,2896.06
"MAT2B",1054,901,989,850,873,1046
"MATCAP1",687.22,463.77,549.61,348.89,266.65,368.21
"MATCAP2",540,506,600,285,338,415
"MATK",601,322,348,541,481,633
"MATN2",6,6,7,41,43,29
"MATN3",10,7,15,5,11,22
"MATR3",5426.78,5002.86,5789.32,4009.25,4296.65,5092.2
"MAU2",1195,863,938,675,598,722
"MAVS",2347,1996,1693,1177,1095,1514
"MAX",864,655.99,749,565.99,592,757.99
"MAZ",6332.29,4716.29,5418.3,4082.79,3691.95,4655.26
"MB",13,12,11,0,2,4
"MB21D2",157,149,185,83,73,89
"MBD1",1216,855,923,734,704,765
"MBD2",1454,1285,1528,879,897,1185
"MBD3",1673.31,989.92,1086.13,945.2,794.82,1043.64
"MBD4",1849.97,1536.95,1654.95,959.64,964,1209.03
"MBD5",173.59,157,185.33,102.18,120.35,142.48
"MBD6",821,607,734.48,563,504,710
"MBIP",221,191,237,179,195,217
"MBLAC1",37.17,30,29.79,38.75,27,29
"MBLAC2",199.04,159.29,164,135.95,106.28,163
"MBNL1",2124.18,1520.46,1897.68,1170.88,1217.03,1524.77
"MBNL2",1049,888,1028,672,674,945
"MBNL3",693,618,799,703,728,993
"MBOAT1",303,213,204,196,191,218
"MBOAT2",614,495,527,328,316,414
"MBOAT4",11,3,3,0,1,0
"MBOAT7",2295.62,1505.88,1831,1042.87,1009.96,1236.86
"MBP",505,363,395,215,220,295.37
"MBTD1",365.08,303.52,315.5,238.07,252.16,341.61
"MBTPS1",2285,1739,2059,1178,1119,1442
"MBTPS2",871,797,943,422,428,535
"MC1R",535.34,344.5,337.13,198.12,170.48,215.91
"MCAM",2964.02,2802,3465,3032,2783,3512
"MCAT",428,283,321,222,189,255
"MCC",503,406,509,434,428,525
"MCCC1",640,657,618,409,398,556
"MCCC2",1652,1426,1662,1078,1124,1299
"MCEE",111,101,113,77,83,103
"MCF2L",1248,889,1014,548,481,619
"MCF2L2",14.47,13.12,6.52,14.74,18.48,9.83
"MCFD2",3353.39,2740.63,3151.3,2230.49,2224.05,2851.48
"MCIDAS",121.92,100.63,112.45,86.29,58.68,103.81
"MCL1",5196,3504,4743,2905,2922,3570.39
"MCM10",1104,941,1055,717,738,920
"MCM2",12563.91,9436.68,10224.22,7369.11,6755.35,8583.67
"MCM3",7158,5775,6257,4936,4539,5765.06
"MCM3AP",3220.94,2448.83,2500.6,1774.17,1537.02,2010.3
"MCM4",9176,7674,8273,3825,3683,4728
"MCM5",3850,2976,3149,3052,2811,3503
"MCM6",3036,2585,2867,2073,2098,2489
"MCM7",10980.56,8347.32,9540.17,7989.35,7484.99,9125.71
"MCM8",962,819,855,627,579,761
"MCM9",157.9,143,101.39,84,96.85,129.66
"MCMBP",2024,1476,1675,1228,1214,1472
"MCOLN1",1110.79,718.58,882.91,582.01,519.77,715.01
"MCPH1",519.94,431.95,538.81,219,200,299.99
"MCRIP1",290,195,205,191,150,197
"MCRIP2",741,457,537,374,319,410
"MCRS1",1749,1351,1312,1107,1064,1289
"MCTP1",36,40,76,133,134,156
"MCTP2",792,548,732,341,372,496
"MCTS1",1413.89,1222.63,1219.1,759.09,819.61,955.69
"MCTS2",346.08,270.98,300.79,209.55,199.34,235.3
"MCU",1333,1145,1230,819,817,1069
"MCUB",190,170,179,123,144,165
"MCUR1",1367,1134,1272,760,743,888
"MDC1",1477,1260.22,1495,1020.99,881.12,1210.71
"MDFI",19,19,25,5,1,3
"MDFIC",402,290,337,187,180,280
"MDGA1",58,45,54,82,76,86
"MDH1",2944.39,2525.72,2683.03,1939.85,2148,2216.82
"MDH1B",12,12,13,4,0,1
"MDH2",6987.66,5285,6070,3620.47,3589,4357
"MDK",74,51,73,27.91,29,42
"MDM1",181,188,205,146,157,185
"MDM2",847.97,797.64,801.85,474.17,477,598.35
"MDM4",598,445,542,298,280,399
"MDN1",878.96,631,773,629,544,866
"MDP1",42.09,31.84,33.62,23.25,26.81,27.64
"ME1",1220,1082,1150,646,657,764
"ME2",684,638,679,458,410,533.73
"ME3",520.88,386.58,444.14,321.84,318.06,401.33
"MEA1",1424.27,1021.36,1120.3,814.89,813.92,1014.98
"MEAF6",838,689,830,544,520,623
"MEAK7",639,418,451,246,188,271.96
"MECOM",788,717,927,333,320,432
"MECP2",1219,991,943,787,780,1065
"MECR",354,261,255,220,202,243
"MED1",1250.08,987.1,1146.14,784.15,772.1,1024.44
"MED10",1354,833,940,460,516,616
"MED11",276.47,189,224,179,162,156
"MED12",1610.87,1227.52,1439.64,1074,992.99,1331.68
"MED12L",10,1,8,5,6,10
"MED13",1030,824,1026,801,787,1130
"MED13L",1610,1252,1398,818,810,1099
"MED14",2944.78,2394.44,2706.64,1266.68,1345,1681
"MED15",2597,1887.99,2195,1589.95,1428.98,1867.97
"MED16",299,210,189,113,99,128
"MED17",1097.32,837.19,890,854,868.59,1002.96
"MED18",317,238,246,182,163,190
"MED19",460,326,325,231,255,278
"MED20",645.45,582,583,310.21,309,438
"MED21",576,530,555,366,419,481
"MED22",1839.98,1332,1219,1064.72,919.87,1166.72
"MED23",539,378,496,288,312,399
"MED24",1268,956,984,648,626,699
"MED25",1251.52,980.84,1099.69,871.62,801.47,1000.82
"MED26",334.36,291.76,311.75,241.38,187.59,280.48
"MED27",689.99,467.83,584.96,344.93,322.98,384.96
"MED28",727,635,592,475,496,606
"MED29",1215.75,961.05,979.16,644.53,620.95,760.98
"MED30",159,124,131,129,130,143
"MED31",406.55,305.18,309.39,206.43,186.35,237.61
"MED4",477,377,484,452,560.95,584.81
"MED6",459,365,455,288,280,358
"MED7",226,196,164,120,132,202
"MED8",1002.98,792.81,862.84,547.7,539.47,659.89
"MED9",369,265,252,226,224,281
"MEF2A",1784.13,1703.57,2037.47,1058.51,1020,1381.51
"MEF2B",39.19,25.36,35.44,24.79,32,21
"MEF2C",9,3,9,1,3,1
"MEF2D",2285,1760,2121,1009.59,942.77,1322.95
"MEFV",6,4,9,6,4,10
"MEGF6",3287,1947,2328,2234,1580,2524
"MEGF8",731,546,688,815,679,871
"MEGF9",1825,1750,2067,1245,1153,1651
"MEIOB",14,4,11,2.05,2.06,5
"MEIOC",3,7,11.28,10,6,12.81
"MEIS1",216.9,199,220.97,169.94,136,188
"MEIS2",406.78,329.82,392.89,321.65,342.67,431.83
"MEIS3",463,291,334,235,193,236
"MELK",1178,1172,1346,894,981,1081
"MELTF",671,420,469,297,237,274
"MEMO1",695.59,508.4,599.68,395.04,390.69,503.96
"MEN1",1742,1297,1375,917,833,1063
"MEOX1",38,57,76,64,44,48
"MEPCE",3340,2214,2514,1623,1529,1949
"MESD",1305,1001.83,1149,859,797.99,990
"MESP1",217,120,88,105,82,111
"MESP2",52,32,23,21,18,20
"MEST",645.76,582.93,684.79,623.99,629.01,708.84
"MET",2906,2293,2620,1435,1504,1958
"METAP1",1109,878,967,736,736,956
"METAP1D",88.73,49,56,41,47,52.9
"METAP2",2152,1888,2240,1581,1685,2001
"METRN",1051,676,669,622,494,674
"METRNL",912,583,663,263,233,306
"METTL1",160,104,97,106,82,109
"METTL13",1228,797,905,583,547,706
"METTL14",317,255,273,192,179,227
"METTL15",391.68,318.47,363.02,211.36,193.78,232.85
"METTL16",692,606,677,475,444,597
"METTL17",835.77,664.64,679.87,500.65,463.86,616.5
"METTL18",114,122.84,122.88,51.52,58,73
"METTL21A",250,176,202,155,153,191
"METTL22",270,183,171,122,150,171
"METTL23",607,451,479,322,315,378
"METTL25",50,40,39,42,27,43
"METTL25B",595.05,444.05,504.1,204.59,190.59,235.06
"METTL26",1250,832,906,564,480,683
"METTL27",118,70,85,41,40,50
"METTL2A",436.19,342.78,406.75,276.98,284.33,363.66
"METTL2B",665.73,495.58,518.63,428.28,422.09,485.56
"METTL3",722.76,504.32,493.73,412.34,370.16,468.84
"METTL4",116,108,130,98,99,116
"METTL5",319.1,216.32,261.61,175.03,171.29,214.29
"METTL6",286.34,213.4,218.57,132.52,148.03,190.11
"METTL8",225,214,220,164,169,226
"METTL9",2135,1874,2202,1353,1378,1597
"MEX3A",216,166,160,102,89,128
"MEX3B",137,110,115,168,116,177
"MEX3C",569,423,484,376,348,485
"MEX3D",1381,838,888,613,512,721
"MFAP1",1403.68,1249.77,1279.01,900.21,877.44,1027.03
"MFAP3",905,766,831,509,491,677
"MFAP3L",47,32,32,39,32,39
"MFAP4",6,1,5,2,2,3
"MFF",1917.59,1830.82,2187.4,1768.52,1657.28,1909.36
"MFGE8",267,187,197,283,240,318
"MFHAS1",1969.68,1251,1485.93,757.28,695.77,969
"MFN1",733,638,704,503,540,665
"MFN2",3381,2450,2756,2058,2009,2321
"MFNG",151,116,117,32,23,38
"MFSD1",958,733,897,550,571,659
"MFSD10",1344.9,821,955.27,612.31,549.51,674.48
"MFSD11",685.53,522.03,740.68,373.75,385.58,454.37
"MFSD12",8573,6403,7533,5506,4934,5989
"MFSD13A",270,226,242,172,177,201
"MFSD14A",622.78,490.41,734.93,444.66,535.27,634.75
"MFSD14B",1623.96,1391.21,1568.56,1231.57,1281.52,1482.3
"MFSD2A",10,7,4,4,3,4
"MFSD2B",2,1,7,3,1,2
"MFSD3",585,404,385,483,409,448
"MFSD4B",239,217,108,120,111,133
"MFSD5",596,428.54,475,324.36,327.87,379
"MFSD6",250,254,294,258,196,314
"MFSD8",95,60,71,56,51,77
"MFSD9",219,166,121,118,112,158
"MGA",1250,1216,1205,910,852,1178
"MGAT1",2009.07,1313,1522,1123.18,1036.32,1295.69
"MGAT2",684.99,476.56,496.54,484.89,440.3,477.97
"MGAT4A",579,588,654,99,93,111
"MGAT4B",5481,3717,4106,3004,2728,3310
"MGAT5",1250,975,1045,696,686,891
"MGAT5B",765,562,580,546,453,622
"MGLL",2545,1957,2196,1271,1211,1469
"MGME1",802.02,617.08,800.55,501.22,504,586.22
"MGMT",124,110,128,126,90,112
"MGP",1,4,5,0,2,1
"MGRN1",1809,1307,1361,978,843,1079
