"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"CEP44",213.3,182.01,176.41,183.59,146.91,193.14
"CEP55",1428,1261,1537,809,873,1039
"CEP57",1372,1312,1561,1151,1209,1519
"CEP57L1",296,292,298,149,171,222
"CEP63",260.91,235.97,264,258,247.4,331
"CEP68",473.01,393.38,404.79,343,359.58,403.86
"CEP70",236,219,235,136,153,187
"CEP72",845,623,698,429,368,583
"CEP76",210,175,190,159,204,231
"CEP78",452,397,489,384,386,450
"CEP83",187,171,179,217,190,244
"CEP85",1284.82,1031.76,1031.09,834.35,803.72,928.01
"CEP85L",42,43,55.95,48,29,53.78
"CEP89",674,587,557,389,349,461
"CEP95",385.12,364,398.32,230.06,260,313.73
"CEP97",552.78,432,492,336,340,440
"CEPT1",422.49,324.95,456,247,279.17,353.39
"CERCAM",1188,903,1050,953,956,1102
"CERK",2365,1939,2035,753,671,915
"CERS2",6518.21,4977.84,5771.35,3748.75,3553.58,4501.7
"CERS4",17,13,19,15,19,24
"CERS5",523,371,434,267,297,330
"CERS6",1001.06,757.5,951.05,639.94,616.49,857.63
"CERT1",413,341,344,289,287,317
"CES2",886.61,639.14,700.04,596.46,579.08,741.89
"CES3",8,1,6,3,5,9
"CETN2",654,573,633,369,410,427
"CETN3",139,145.77,151.09,102,107,116
"CFAP119",254.01,167.21,182.69,125.13,100.06,123.92
"CFAP126",13,16,9,3,5,5
"CFAP157",70.26,50.71,31.45,62.16,38.34,64.43
"CFAP184",28,17,25,13,15,16
"CFAP20",919,670,796,596,579,669
"CFAP206",23,16,20,7,3,4
"CFAP210",2,3,5,1,2,1
"CFAP251",9,3,4,6,7,4
"CFAP263",304,266,279,102,131,122
"CFAP298",1060.63,819.02,921.68,598.29,668.53,736.67
"CFAP298-TCP10L",26.54,36.91,40.05,21.9,23.8,18.43
"CFAP36",355,323,389,263,249,262
"CFAP410",418.6,261.4,311.42,212.16,186.71,248.46
"CFAP418",123,96,125,103,104,122
"CFAP43",1,2,0,1,2,4
"CFAP44",208.18,162.48,153.42,121.45,117.24,153.01
"CFAP45",21,16,15,10,8,7
"CFAP52",3,3,3,4,4,3
"CFAP53",17,24,16,4,3,7
"CFAP57",14,14,13,3,6,16
"CFAP58",7,6,8,4,7,7
"CFAP68",42,27,24,56,54,48
"CFAP69",0,1,1,10,10,8
"CFAP70",49.51,31.68,29.96,13.88,14.55,15.28
"CFAP73",17.92,7.71,7.87,13.51,2.2,6.6
"CFAP74",5,3,3,2,0,5
"CFAP92",2.06,3.19,3.07,3.2,2.04,4.23
"CFAP96",15,19,7,6,4,7
"CFAP97",353.73,284.95,345.68,271.25,257,337.24
"CFB",1201,1058,1254,639,593,706
"CFD",1007,652,748,316,263,340
"CFDP1",349.49,377.97,378.03,369.45,374.38,415.59
"CFL1",21283,15406,16765,11562,11558,13724.65
"CFL2",701,729,865,550,607,703
"CFLAR",535.26,426.49,474.88,296.55,269.13,368.1
"CFP",4,6,6,4,0.58,1
"CFTR",5,7,12,5,6,6
"CGA",186,133,185,13,16,12
"CGAS",554,430,414,276,273,346
"CGB7",4.3,1.4,7.8,2,0,3.42
"CGB8",5.7,1.6,4.03,2,5.24,1.58
"CGGBP1",963.5,787.52,917.2,674.93,679.26,935.04
"CGN",128,106,118,44,50,60
"CGNL1",1,3,3,4,5,4
"CGRRF1",52,34,39,41,36,49
"CHAC1",152.18,24.44,39,15,21,14
"CHAC2",289,263,255,158,168,179
"CHAD",11,7,7,2,3,4
"CHADL",3,4,1,1.01,2,0
"CHAF1A",3328,2322,2825,2145,2037.98,2460
"CHAF1B",1640,1354,1466,922,896,1042
"CHAMP1",919,792,819,618,580,750
"CHCHD1",1069.38,739.17,781.6,498.01,473.44,548
"CHCHD10",2210,1637,1753,1263,1205,1450
"CHCHD2",9853.1,6296.83,6789.3,5982.95,5778.73,6424.14
"CHCHD3",1917,1521,1692,1121.99,1118.99,1364
"CHCHD4",262,167,203,139,176,193
"CHCHD5",359.24,234,244,176,148.28,172
"CHCHD6",219,134,153,151,181,157
"CHCHD7",387,305,323,171,199,239
"CHD1",1000,940,944,651,690,923
"CHD1L",1328,973,1051,752,669,804.29
"CHD2",1926,1690,1487,1160,1070,1533
"CHD3",7142,5533,6448,4988,4228,5874
"CHD4",6384.7,4937.9,5449.49,3493,3324.97,4392.11
"CHD5",13,13,13,12,14,24
"CHD6",1484,1234,1249,888,823,1135
"CHD7",891,693,660,454,388,598
"CHD8",1297.16,1084.67,1196.8,925,862,1110
"CHD9",444,381,438,308,313,452
"CHD9NB",5,0,4,1,2,1
"CHDH",292.42,200.79,208.2,229.62,172.11,229.91
"CHEK1",1451.32,1203,1362.07,915.58,933.23,1136.56
"CHEK2",617,542,604,381,395,478
"CHERP",2224.68,1575.32,1790.37,1378.04,1200.95,1663.64
"CHFR",101,64,64,64,62,69
"CHIC1",193,136,165,83,74,88
"CHIC2",149,77,101,65,80,77
"CHID1",852,558,612,530,543,674
"CHKA",561.15,388.61,415.85,373.16,350.47,430.45
"CHKB",375.17,277.54,218.25,182.7,146.65,177.14
"CHKB-CPT1B",100.8,125.21,121.12,29.7,49.31,55.67
"CHL1",4,7,7,0,0,0
"CHLSN",1007,699,685,503,494,606
"CHM",769,684,780,480,491,655
"CHML",1984.51,2030.32,2773.01,984.69,945.88,1216.47
"CHMP1A",2110,1402,1507,1003,993,1167
"CHMP1B",1033,907,1209,756,712,836
"CHMP2A",827,684,746,511,516,591
"CHMP2B",788,700,847,511,547,580
"CHMP3",1225,1083.57,1238.12,699.22,683.13,856.97
"CHMP4A",541.73,388.79,484.43,310.47,270.24,211.74
"CHMP4B",2123,1490,1866,1136,1136,1385
"CHMP4BP1",5,0,5,5,1,3
"CHMP4C",219,181,190,101,108,131
"CHMP5",1059.89,901.68,1087.42,587.42,633.93,654.97
"CHMP6",231,138,151,90,79,116
"CHMP7",1199,848,952,374,395,467
"CHN1",64,43,52,42,47,64
"CHN2",44.18,60.27,34.83,14,16,22.05
"CHORDC1",1073.16,948.35,940.88,695.64,809.88,933.68
"CHP1",3002,2891,3294,2080,2195,2509
"CHPF",1445.33,910.95,1086.88,866.26,846.49,970.28
"CHPF2",3188,2151,2555,2049,1793,2317.89
"CHPT1",429,363,394,365,398,502
"CHRAC1",1605,1324,1591,1123,1086,1382
"CHRD",47,64,82,31,29,49
"CHRDL2",7,8,5,4,1,2
"CHRM1",31,25,43,30,45,39
"CHRM3",58,48,46,10,6,18
"CHRM4",16,6,14,14.09,12,14
"CHRNA10",9.74,2.39,6.7,4.39,5.06,7.89
"CHRNA3",15,14,7,11,5,3
"CHRNA5",322.52,246.81,266.11,223.66,192.54,214.77
"CHRNB1",53,58,60,43,50,61
"CHRNE",0,1.2,5,1.44,1,3
"CHST11",291,198,239,168,192,220
"CHST12",1385,997,954,626,605,770
"CHST13",583,570,697,957,760,1020
"CHST14",765,502,573.98,434,409,536
"CHST15",996,732,897,468,407,588
"CHST2",462,354,457,219,188,223
"CHST3",2291,1817,1997,1421,1376,1841
"CHST6",113,78.96,99.91,23.85,17.95,28.4
"CHST7",398,196,231,35,48,46
"CHSY1",1334,1019,1151,888,830,1098
"CHTF18",2106.38,1366.04,1467.04,1053.09,934.01,1204.07
"CHTF8",1859.73,1320.78,1508.7,1242.86,1181.15,1501.27
"CHTOP",2171.85,1590.29,1997.1,1295.39,1314.02,1549.75
"CHUK",578,457,485,370,397,442
"CHURC1",1304,1106,1297,850,870,1027.22
"CHURC1-FNTB",0,0,0,7.81,0,24.08
"CIAO1",2257,1663,1779,1385,1370,1717
"CIAO2A",1687.98,1360.97,1516.99,1024,1135,1171
"CIAO2B",1029,667,758,542,466,585
"CIAO3",603,406,411,239,257,313
"CIAPIN1",1391,1018,1117,858,934,1070
"CIB1",3275.5,1930.38,2124.5,1401.41,1300.75,1424.54
"CIB2",20,17,9,34,33,20
"CIBAR1",381.71,398.17,351.34,299.25,308.76,281.25
"CIC",3113,2201,2730,1813,1467,2102
"CIDEB",260.4,193.33,203.47,187.94,158.65,230.11
"CIITA",30.43,30.17,9.62,14.41,7.22,21.71
"CILK1",159,160,204,167.06,137,197
"CILP2",45,28,28,37,34,47
"CIMAP1B",90,74,97,50,29,48
"CIMAP1C",42,38,55,47,37,47
"CIMIP2A",5,6.01,5.01,1,3,0
"CIMIP2C",1,1,2,2,2,3
"CIMIP5",11,5,6,4,4,12
"CINP",636,464,544,354,352,445
"CIP2A",799,761,803,643,678,866
"CIPC",348,252,295,218,195,218
"CIR1",214,179,277,159,151,170
"CIRBP",922.43,703.53,791.61,956.67,817.86,1009.97
"CISD1",1137,908,914,697,730,751
"CISD2",590,439.97,460.3,320.1,303,366.97
"CISD3",936.58,594.49,718.24,500.03,503.34,591.51
"CISH",252,211,242,82,84,95
"CIT",1242,1074,1252,705,722,984
"CITED1",2.74,0,2,3,3.06,5
"CITED2",606,562,1587,492,439,519
"CITED4",1386,840,2209,1342,1186,1377
"CIZ1",5448,4149,4717,4203,3922,5084
"CKAP2",1109,969,1111,1047,1151,1317
"CKAP2L",760,711,768,466,497.99,590.98
"CKAP4",4787,3542,4377,3297,3268,3852
"CKAP5",2985,2583,2982,1870,1889,2447
"CKB",15925.57,11266.69,12535.54,6993.79,6423.35,7554.11
"CKLF",1182.38,725.46,887.77,558.45,536.32,650.68
"CKLF-CMTM1",19.58,10.71,13.18,12.7,4.66,8.24
"CKMT1A",0,2,1.21,6.99,0,3.99
"CKMT1B",0,0,4.79,0.01,5,0.01
"CKMT2",9,7,4,3,2,2
"CKS1B",2136.82,1662.84,1795.74,1104.51,1102.79,1332.81
"CKS2",873,585,628,502,454.96,508.89
